# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HSCHRUN_RANDOM_202	unplaced-scaffold	na	na	KI270371.1	<>	na	Primary Assembly	2805	chrUn_KI270371v1
HSCHRUN_RANDOM_199	unplaced-scaffold	na	na	KI270372.1	<>	na	Primary Assembly	1650	chrUn_KI270372v1
HSCHRUN_RANDOM_200	unplaced-scaffold	na	na	KI270373.1	<>	na	Primary Assembly	1451	chrUn_KI270373v1
HSCHRUN_RANDOM_198	unplaced-scaffold	na	na	KI270374.1	<>	na	Primary Assembly	2656	chrUn_KI270374v1
HSCHRUN_RANDOM_201	unplaced-scaffold	na	na	KI270375.1	<>	na	Primary Assembly	2378	chrUn_KI270375v1
HSCHRUN_RANDOM_197	unplaced-scaffold	na	na	KI270376.1	<>	na	Primary Assembly	1136	chrUn_KI270376v1
HSCHRUN_RANDOM_179	unplaced-scaffold	na	na	KI270378.1	<>	na	Primary Assembly	1048	chrUn_KI270378v1
HSCHRUN_RANDOM_180	unplaced-scaffold	na	na	KI270379.1	<>	na	Primary Assembly	1045	chrUn_KI270379v1
HSCHRUN_RANDOM_194	unplaced-scaffold	na	na	KI270381.1	<>	na	Primary Assembly	1930	chrUn_KI270381v1
HSCHRUN_RANDOM_196	unplaced-scaffold	na	na	KI270382.1	<>	na	Primary Assembly	4215	chrUn_KI270382v1
HSCHRUN_RANDOM_190	unplaced-scaffold	na	na	KI270383.1	<>	na	Primary Assembly	1750	chrUn_KI270383v1
HSCHRUN_RANDOM_192	unplaced-scaffold	na	na	KI270384.1	<>	na	Primary Assembly	1658	chrUn_KI270384v1
HSCHRUN_RANDOM_195	unplaced-scaffold	na	na	KI270385.1	<>	na	Primary Assembly	990	chrUn_KI270385v1
HSCHRUN_RANDOM_188	unplaced-scaffold	na	na	KI270386.1	<>	na	Primary Assembly	1788	chrUn_KI270386v1
HSCHRUN_RANDOM_183	unplaced-scaffold	na	na	KI270387.1	<>	na	Primary Assembly	1537	chrUn_KI270387v1
HSCHRUN_RANDOM_186	unplaced-scaffold	na	na	KI270388.1	<>	na	Primary Assembly	1216	chrUn_KI270388v1
HSCHRUN_RANDOM_181	unplaced-scaffold	na	na	KI270389.1	<>	na	Primary Assembly	1298	chrUn_KI270389v1
HSCHRUN_RANDOM_182	unplaced-scaffold	na	na	KI270390.1	<>	na	Primary Assembly	2387	chrUn_KI270390v1
HSCHRUN_RANDOM_189	unplaced-scaffold	na	na	KI270391.1	<>	na	Primary Assembly	1484	chrUn_KI270391v1
HSCHRUN_RANDOM_193	unplaced-scaffold	na	na	KI270392.1	<>	na	Primary Assembly	971	chrUn_KI270392v1
HSCHRUN_RANDOM_191	unplaced-scaffold	na	na	KI270393.1	<>	na	Primary Assembly	1308	chrUn_KI270393v1
HSCHRUN_RANDOM_187	unplaced-scaffold	na	na	KI270394.1	<>	na	Primary Assembly	970	chrUn_KI270394v1
HSCHRUN_RANDOM_184	unplaced-scaffold	na	na	KI270395.1	<>	na	Primary Assembly	1143	chrUn_KI270395v1
HSCHRUN_RANDOM_185	unplaced-scaffold	na	na	KI270396.1	<>	na	Primary Assembly	1880	chrUn_KI270396v1
HSCHRUN_RANDOM_113	unplaced-scaffold	na	na	KI270411.1	<>	na	Primary Assembly	2646	chrUn_KI270411v1
HSCHRUN_RANDOM_112	unplaced-scaffold	na	na	KI270412.1	<>	na	Primary Assembly	1179	chrUn_KI270412v1
HSCHRUN_RANDOM_114	unplaced-scaffold	na	na	KI270414.1	<>	na	Primary Assembly	2489	chrUn_KI270414v1
HSCHRUN_RANDOM_119	unplaced-scaffold	na	na	KI270417.1	<>	na	Primary Assembly	2043	chrUn_KI270417v1
HSCHRUN_RANDOM_116	unplaced-scaffold	na	na	KI270418.1	<>	na	Primary Assembly	2145	chrUn_KI270418v1
HSCHRUN_RANDOM_115	unplaced-scaffold	na	na	KI270419.1	<>	na	Primary Assembly	1029	chrUn_KI270419v1
HSCHRUN_RANDOM_117	unplaced-scaffold	na	na	KI270420.1	<>	na	Primary Assembly	2321	chrUn_KI270420v1
HSCHRUN_RANDOM_120	unplaced-scaffold	na	na	KI270422.1	<>	na	Primary Assembly	1445	chrUn_KI270422v1
HSCHRUN_RANDOM_121	unplaced-scaffold	na	na	KI270423.1	<>	na	Primary Assembly	981	chrUn_KI270423v1
HSCHRUN_RANDOM_118	unplaced-scaffold	na	na	KI270424.1	<>	na	Primary Assembly	2140	chrUn_KI270424v1
HSCHRUN_RANDOM_122	unplaced-scaffold	na	na	KI270425.1	<>	na	Primary Assembly	1884	chrUn_KI270425v1
HSCHRUN_RANDOM_123	unplaced-scaffold	na	na	KI270429.1	<>	na	Primary Assembly	1361	chrUn_KI270429v1
HSCHRUN_RANDOM_128	unplaced-scaffold	na	na	KI270435.1	<>	na	Primary Assembly	92983	chrUn_KI270435v1
HSCHRUN_RANDOM_129	unplaced-scaffold	na	na	KI270438.1	<>	na	Primary Assembly	112505	chrUn_KI270438v1
HSCHRUN_RANDOM_124	unplaced-scaffold	na	na	KI270442.1	<>	na	Primary Assembly	392061	chrUn_KI270442v1
HSCHRUN_RANDOM_203	unplaced-scaffold	na	na	KI270448.1	<>	na	Primary Assembly	7992	chrUn_KI270448v1
HSCHRUN_RANDOM_126	unplaced-scaffold	na	na	KI270465.1	<>	na	Primary Assembly	1774	chrUn_KI270465v1
HSCHRUN_RANDOM_125	unplaced-scaffold	na	na	KI270466.1	<>	na	Primary Assembly	1233	chrUn_KI270466v1
HSCHRUN_RANDOM_127	unplaced-scaffold	na	na	KI270467.1	<>	na	Primary Assembly	3920	chrUn_KI270467v1
HSCHRUN_RANDOM_130	unplaced-scaffold	na	na	KI270468.1	<>	na	Primary Assembly	4055	chrUn_KI270468v1
HSCHRUN_RANDOM_141	unplaced-scaffold	na	na	KI270507.1	<>	na	Primary Assembly	5353	chrUn_KI270507v1
HSCHRUN_RANDOM_134	unplaced-scaffold	na	na	KI270508.1	<>	na	Primary Assembly	1951	chrUn_KI270508v1
HSCHRUN_RANDOM_132	unplaced-scaffold	na	na	KI270509.1	<>	na	Primary Assembly	2318	chrUn_KI270509v1
HSCHRUN_RANDOM_131	unplaced-scaffold	na	na	KI270510.1	<>	na	Primary Assembly	2415	chrUn_KI270510v1
HSCHRUN_RANDOM_139	unplaced-scaffold	na	na	KI270511.1	<>	na	Primary Assembly	8127	chrUn_KI270511v1
HSCHRUN_RANDOM_136	unplaced-scaffold	na	na	KI270512.1	<>	na	Primary Assembly	22689	chrUn_KI270512v1
HSCHRUN_RANDOM_140	unplaced-scaffold	na	na	KI270515.1	<>	na	Primary Assembly	6361	chrUn_KI270515v1
HSCHRUN_RANDOM_135	unplaced-scaffold	na	na	KI270516.1	<>	na	Primary Assembly	1300	chrUn_KI270516v1
HSCHRUN_RANDOM_142	unplaced-scaffold	na	na	KI270517.1	<>	na	Primary Assembly	3253	chrUn_KI270517v1
HSCHRUN_RANDOM_133	unplaced-scaffold	na	na	KI270518.1	<>	na	Primary Assembly	2186	chrUn_KI270518v1
HSCHRUN_RANDOM_137	unplaced-scaffold	na	na	KI270519.1	<>	na	Primary Assembly	138126	chrUn_KI270519v1
HSCHRUN_RANDOM_204	unplaced-scaffold	na	na	KI270521.1	<>	na	Primary Assembly	7642	chrUn_KI270521v1
HSCHRUN_RANDOM_138	unplaced-scaffold	na	na	KI270522.1	<>	na	Primary Assembly	5674	chrUn_KI270522v1
HSCHRUN_RANDOM_144	unplaced-scaffold	na	na	KI270528.1	<>	na	Primary Assembly	2983	chrUn_KI270528v1
HSCHRUN_RANDOM_143	unplaced-scaffold	na	na	KI270529.1	<>	na	Primary Assembly	1899	chrUn_KI270529v1
HSCHRUN_RANDOM_145	unplaced-scaffold	na	na	KI270530.1	<>	na	Primary Assembly	2168	chrUn_KI270530v1
HSCHRUN_RANDOM_147	unplaced-scaffold	na	na	KI270538.1	<>	na	Primary Assembly	91309	chrUn_KI270538v1
HSCHRUN_RANDOM_146	unplaced-scaffold	na	na	KI270539.1	<>	na	Primary Assembly	993	chrUn_KI270539v1
HSCHRUN_RANDOM_148	unplaced-scaffold	na	na	KI270544.1	<>	na	Primary Assembly	1202	chrUn_KI270544v1
HSCHRUN_RANDOM_149	unplaced-scaffold	na	na	KI270548.1	<>	na	Primary Assembly	1599	chrUn_KI270548v1
HSCHRUN_RANDOM_158	unplaced-scaffold	na	na	KI270579.1	<>	na	Primary Assembly	31033	chrUn_KI270579v1
HSCHRUN_RANDOM_156	unplaced-scaffold	na	na	KI270580.1	<>	na	Primary Assembly	1553	chrUn_KI270580v1
HSCHRUN_RANDOM_157	unplaced-scaffold	na	na	KI270581.1	<>	na	Primary Assembly	7046	chrUn_KI270581v1
HSCHRUN_RANDOM_162	unplaced-scaffold	na	na	KI270582.1	<>	na	Primary Assembly	6504	chrUn_KI270582v1
HSCHRUN_RANDOM_154	unplaced-scaffold	na	na	KI270583.1	<>	na	Primary Assembly	1400	chrUn_KI270583v1
HSCHRUN_RANDOM_161	unplaced-scaffold	na	na	KI270584.1	<>	na	Primary Assembly	4513	chrUn_KI270584v1
HSCHRUN_RANDOM_155	unplaced-scaffold	na	na	KI270587.1	<>	na	Primary Assembly	2969	chrUn_KI270587v1
HSCHRUN_RANDOM_163	unplaced-scaffold	na	na	KI270588.1	<>	na	Primary Assembly	6158	chrUn_KI270588v1
