# Region Report
# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION112	1	245305697	245727576	alt-scaffold	KI270759.1	NT_187516.1	ALT_REF_LOCI_1
REGION308	1	247233558	247443983	fix-patch	MU273334.1	na	PATCHES
OLFACTORY_REGION_3	1	248352027	248693469	alt-scaffold	KI270761.1	NT_187518.1	ALT_REF_LOCI_1
OLFACTORY_REGION_3	1	248352027	248693469	alt-scaffold	KI270892.1	NT_187646.1	ALT_REF_LOCI_2
OLFACTORY_REGION_3	1	248352027	248693469	novel-patch	MU273332.1	na	PATCHES
REGION113	2	728878	860300	alt-scaffold	KI270770.1	NT_187525.1	ALT_REF_LOCI_1
REGION114	2	1204935	1273724	alt-scaffold	KI270773.1	NT_187526.1	ALT_REF_LOCI_1
REGION115	2	1315177	1541254	alt-scaffold	KI270774.1	NT_187529.1	ALT_REF_LOCI_1
REGION121	2	3391898	3511146	alt-scaffold	KI270769.1	NT_187522.1	ALT_REF_LOCI_1
REGION275	2	16105575	16187687	fix-patch	ML143342.1	na	PATCHES
APOB	2	20949331	21194057	fix-patch	MU273344.1	na	PATCHES
REGION309	2	21681752	21853976	fix-patch	MU273345.1	na	PATCHES
REGION4	2	36225959	36363315	alt-scaffold	GL383521.1	NW_003315908.1	ALT_REF_LOCI_1
REGION310	2	73330506	73819906	fix-patch	MU273343.1	na	PATCHES
TGOLN2	2	85073815	85358733	novel-patch	MU273340.1	na	PATCHES
IGK	2	88891175	89330679	fix-patch	KQ031384.1	na	PATCHES
REGION116	2	90218337	90402511	alt-scaffold	KI270772.1	NT_187524.1	ALT_REF_LOCI_1
REGION116	2	90218337	90402511	alt-scaffold	KI270894.1	NT_187648.1	ALT_REF_LOCI_2
CEN2	2	92188146	94090557	CEN	na	na	na
REGION311	2	95237897	95669507	novel-patch	MU273337.1	na	PATCHES
REGION312	2	97025303	98029056	fix-patch	MU273342.1	na	PATCHES
REGION117	2	115908855	116040717	alt-scaffold	KI270775.1	NT_187531.1	ALT_REF_LOCI_1
REGION118	2	116874515	116981849	alt-scaffold	KI270771.1	NT_187530.1	ALT_REF_LOCI_1
REGION248	2	126189128	126361783	novel-patch	KZ208907.1	na	PATCHES
REGION313	2	129827759	130324004	novel-patch	MU273339.1	na	PATCHES
REGION119	2	131697037	131806107	alt-scaffold	KI270768.1	NT_187528.1	ALT_REF_LOCI_1
REGION44	2	148934069	149024119	alt-scaffold	GL582966.2	NW_003571033.2	ALT_REF_LOCI_1
SPC25	2	168830363	168937194	alt-scaffold	GL383522.1	NW_003315909.1	ALT_REF_LOCI_1
REGION314	2	171569828	172096484	novel-patch	MU273338.1	na	PATCHES
COL3A1	2	188895041	189015421	fix-patch	MU273341.1	na	PATCHES
REGION233	2	205890983	206421450	novel-patch	KQ983256.1	na	PATCHES
REGION249	2	208007848	208142067	novel-patch	KZ208908.1	na	PATCHES
REGION201	2	233054663	233420161	fix-patch	KN538363.1	na	PATCHES
REGION276	2	238772758	238918045	fix-patch	ML143341.1	na	PATCHES
REGION202	2	239696904	239905046	fix-patch	KN538362.1	na	PATCHES
REGION120	2	241787903	242117508	alt-scaffold	KI270767.1	NT_187523.1	ALT_REF_LOCI_1
REGION120	2	241787903	242117508	alt-scaffold	KI270776.1	NT_187527.1	ALT_REF_LOCI_1
REGION120	2	241787903	242117508	alt-scaffold	KI270893.1	NT_187647.1	ALT_REF_LOCI_2
REGION73	3	11815268	11986497	alt-scaffold	JH636055.2	NW_003871060.2	ALT_REF_LOCI_1
REGION235	3	16687511	17099186	fix-patch	KV766192.1	na	PATCHES
REGION122	3	20277967	20382602	alt-scaffold	KI270783.1	NT_187535.1	ALT_REF_LOCI_1
REGION315	3	32634346	32933084	fix-patch	MU273347.1	na	PATCHES
REGION316	3	37430162	37903219	fix-patch	MU273348.1	na	PATCHES
REGION192	3	44474647	44925818	fix-patch	KN196475.1	na	PATCHES
SLC25A26	3	66023201	66396803	fix-patch	KQ031385.1	na	PATCHES
RYBP	3	72325441	72740399	fix-patch	KN538364.1	na	PATCHES
REGION277	3	75363639	75568796	novel-patch	ML143343.1	na	PATCHES
REGION250	3	84799968	84960626	novel-patch	KZ208909.1	na	PATCHES
REGION210	3	90528825	90699772	fix-patch	KQ031386.1	na	PATCHES
CEN3	3	90772459	93655574	CEN	na	na	na
REGION191	3	91247723	91553319	fix-patch	KN196476.1	na	PATCHES
REGION262	3	94896163	94997637	fix-patch	KZ559104.1	na	PATCHES
REGION263	3	112116711	112302325	novel-patch	KZ559105.1	na	PATCHES
REGION123	3	125665519	125883802	alt-scaffold	KI270780.1	NT_187537.1	ALT_REF_LOCI_1
REGION264	3	128137812	128433766	novel-patch	KZ559103.1	na	PATCHES
REGION5	3	151589366	151759498	alt-scaffold	GL383526.1	NW_003315913.1	ALT_REF_LOCI_1
REGION124	3	154111571	154282042	alt-scaffold	KI270777.1	NT_187533.1	ALT_REF_LOCI_1
REGION125	3	166300784	166544173	alt-scaffold	KI270778.1	NT_187536.1	ALT_REF_LOCI_1
REGION265	3	175333210	175524240	novel-patch	KZ559102.1	na	PATCHES
REGION266	3	176115490	176274065	novel-patch	KZ559101.1	na	PATCHES
REGION126	3	184425340	184533338	alt-scaffold	KI270781.1	NT_187538.1	ALT_REF_LOCI_1
REGION317	3	187190322	187659631	fix-patch	MU273346.1	na	PATCHES
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270779.1	NT_187532.1	ALT_REF_LOCI_1
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270895.1	NT_187649.1	ALT_REF_LOCI_2
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270924.1	NT_187678.1	ALT_REF_LOCI_3
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270934.1	NT_187688.1	ALT_REF_LOCI_4
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270935.1	NT_187689.1	ALT_REF_LOCI_5
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270936.1	NT_187690.1	ALT_REF_LOCI_6
MUCIN_REGION_2	3	195629504	195827492	alt-scaffold	KI270937.1	NT_187691.1	ALT_REF_LOCI_7
REGION127	3	197397856	197558882	alt-scaffold	KI270782.1	NT_187534.1	ALT_REF_LOCI_1
REGION128	3	198047549	198235559	alt-scaffold	KI270784.1	NT_187539.1	ALT_REF_LOCI_1
REGION282	4	1421767	1660835	fix-patch	ML143344.1	na	PATCHES
REGION279	4	8728948	8923891	fix-patch	ML143347.1	na	PATCHES
REGION222	4	14931450	15019028	novel-patch	KQ090013.1	na	PATCHES
REGION129	4	21521367	21734410	alt-scaffold	KI270790.1	NT_187540.1	ALT_REF_LOCI_1
GBA3	4	22678208	22883898	fix-patch	MU273351.1	na	PATCHES
REGION280	4	31788957	31855391	fix-patch	ML143346.1	na	PATCHES
REGION278	4	32810823	32942229	fix-patch	ML143348.1	na	PATCHES
REGION6	4	34517955	34883858	alt-scaffold	GL383528.1	NW_003315915.1	ALT_REF_LOCI_1
REGION281	4	49074722	49336924	fix-patch	ML143345.1	na	PATCHES
CEN4	4	49708101	51743951	CEN	na	na	na
REGION130	4	55678095	55785754	alt-scaffold	KI270787.1	NT_187541.1	ALT_REF_LOCI_1
REGION283	4	58666869	58984981	fix-patch	ML143349.1	na	PATCHES
REGION223	4	65880454	66040277	novel-patch	KQ090014.1	na	PATCHES
UGT2B17	4	68306359	69010457	alt-scaffold	GL000257.2	NT_167250.2	ALT_REF_LOCI_1
REGION224	4	69959865	70191926	novel-patch	KQ090015.1	na	PATCHES
REGION131	4	120164199	120317014	alt-scaffold	KI270788.1	NT_187544.1	ALT_REF_LOCI_1
PRSS48	4	151063270	151371951	novel-patch	MU273349.1	na	PATCHES
REGION236	4	154079465	154493046	novel-patch	KV766193.1	na	PATCHES
REGION7	4	155835378	155987264	alt-scaffold	GL383527.1	NW_003315914.1	ALT_REF_LOCI_1
REGION132	4	186920392	187048061	alt-scaffold	KI270785.1	NT_187542.1	ALT_REF_LOCI_1
REGION133	4	188341423	188542359	alt-scaffold	KI270789.1	NT_187545.1	ALT_REF_LOCI_1
REGION318	4	188991774	189102649	fix-patch	MU273350.1	na	PATCHES
REGION134	4	189361858	190204555	alt-scaffold	KI270786.1	NT_187543.1	ALT_REF_LOCI_1
REGION134	4	189361858	190204555	alt-scaffold	KI270896.1	NT_187650.1	ALT_REF_LOCI_2
REGION134	4	189361858	190204555	alt-scaffold	KI270925.1	NT_187679.1	ALT_REF_LOCI_3
REGION134	4	189361858	190204555	fix-patch	KQ983257.1	na	PATCHES
REGION134	4	189361858	190204555	novel-patch	KQ983258.1	na	PATCHES
REGION135	5	502435	626896	alt-scaffold	KI270793.1	NT_187550.1	ALT_REF_LOCI_1
SLC12A7	5	981494	1161361	alt-scaffold	KI270792.1	NT_187548.1	ALT_REF_LOCI_1
SLC6A3	5	1318299	1509772	alt-scaffold	KI270791.1	NT_187547.1	ALT_REF_LOCI_1
REGION251	5	3768476	3899281	novel-patch	KZ208910.1	na	PATCHES
UBE2QL1	5	6297827	6504595	fix-patch	MU273353.1	na	PATCHES
REGION9	5	12681426	12744010	alt-scaffold	GL383532.1	NW_003315920.1	ALT_REF_LOCI_1
REGION193	5	21098347	21230960	novel-patch	KN196477.1	na	PATCHES
GUSBP1	5	21448370	21713081	novel-patch	KV575243.1	na	PATCHES
PRDM9	5	23369984	23672469	novel-patch	MU273356.1	na	PATCHES
REGION61	5	29036498	29254469	alt-scaffold	GL949742.1	NW_003571036.1	ALT_REF_LOCI_1
REGION136	5	33800665	33963236	alt-scaffold	KI270794.1	NT_187551.1	ALT_REF_LOCI_1
CEN5	5	46485901	50059807	CEN	na	na	na
SMA	5	69216819	71614443	alt-scaffold	GL339449.2	NW_003315917.2	ALT_REF_LOCI_1
SMA	5	69216819	71614443	alt-scaffold	KI270897.1	NT_187651.1	ALT_REF_LOCI_2
MCTP1	5	95169857	95254491	alt-scaffold	GL383530.1	NW_003315918.1	ALT_REF_LOCI_1
REGION137	5	125279466	125444151	alt-scaffold	KI270796.1	NT_187549.1	ALT_REF_LOCI_1
ECSCR	5	139409472	139500161	fix-patch	ML143350.1	na	PATCHES
PCDHB@	5	140764825	141273156	fix-patch	MU273355.1	na	PATCHES
REGION8	5	162373667	162541648	alt-scaffold	GL383531.1	NW_003315919.1	ALT_REF_LOCI_1
REGION138	5	177865465	177996111	alt-scaffold	KI270795.1	NT_187546.1	ALT_REF_LOCI_1
REGION138	5	177865465	177996111	alt-scaffold	KI270898.1	NT_187652.1	ALT_REF_LOCI_2
REGION234	5	179235294	179907499	fix-patch	KV575244.1	na	PATCHES
REGION319	5	181448822	181478259	fix-patch	MU273352.1	na	PATCHES
GCNT2	6	10489117	10731912	fix-patch	KZ208911.1	na	PATCHES
REGION225	6	13101650	13179113	novel-patch	KQ090017.1	na	PATCHES
REGION320	6	26453821	26859000	novel-patch	MU273357.1	na	PATCHES
MHC	6	28510120	33480577	alt-scaffold	GL000250.2	NT_167244.2	ALT_REF_LOCI_1
MHC	6	28510120	33480577	alt-scaffold	GL000251.2	NT_113891.3	ALT_REF_LOCI_2
MHC	6	28510120	33480577	alt-scaffold	GL000252.2	NT_167245.2	ALT_REF_LOCI_3
MHC	6	28510120	33480577	alt-scaffold	GL000253.2	NT_167246.2	ALT_REF_LOCI_4
MHC	6	28510120	33480577	alt-scaffold	GL000254.2	NT_167247.2	ALT_REF_LOCI_5
MHC	6	28510120	33480577	alt-scaffold	GL000255.2	NT_167248.2	ALT_REF_LOCI_6
MHC	6	28510120	33480577	alt-scaffold	GL000256.2	NT_167249.2	ALT_REF_LOCI_7
MHC	6	28510120	33480577	alt-scaffold	KI270758.1	NT_187692.1	ALT_REF_LOCI_8
CEN6	6	58553889	59829934	CEN	na	na	na
REGION211	6	61123605	61470683	fix-patch	KQ031387.1	na	PATCHES
REGION139	6	65774814	65944033	alt-scaffold	KI270800.1	NT_187555.1	ALT_REF_LOCI_1
REGION194	6	67533466	67796090	fix-patch	KN196478.1	na	PATCHES
REGION140	6	68262879	68402208	alt-scaffold	KI270799.1	NT_187554.1	ALT_REF_LOCI_1
REGION10	6	79350008	79446911	alt-scaffold	GL383533.1	NW_003315921.1	ALT_REF_LOCI_1
REGION214	6	82140389	82375901	fix-patch	KQ090016.1	na	PATCHES
CASP8AP2	6	89804656	89941739	fix-patch	KV766194.1	na	PATCHES
REGION284	6	95012984	95133130	fix-patch	ML143351.1	na	PATCHES
REGION141	6	127654803	128521146	alt-scaffold	KI270801.1	NT_187556.1	ALT_REF_LOCI_1
REGION142	6	166220580	166285980	alt-scaffold	KI270802.1	NT_187557.1	ALT_REF_LOCI_1
REGION99	6	168796076	168951646	alt-scaffold	KB021644.2	NW_004166862.2	ALT_REF_LOCI_1
REGION143	6	169724799	169919706	alt-scaffold	KI270797.1	NT_187552.1	ALT_REF_LOCI_1
REGION144	6	170272763	170535221	alt-scaffold	KI270798.1	NT_187553.1	ALT_REF_LOCI_1
REGION145	7	10001	279542	alt-scaffold	KI270804.1	NT_187558.1	ALT_REF_LOCI_1
REGION145	7	10001	279542	alt-scaffold	KI270899.1	NT_187653.1	ALT_REF_LOCI_2
REGION145	7	10001	279542	fix-patch	ML143352.1	na	PATCHES
REGION267	7	9026358	9192359	novel-patch	KZ559106.1	na	PATCHES
REGION321	7	54005772	54470182	novel-patch	MU273358.1	na	PATCHES
CEN7	7	58169654	60828234	CEN	na	na	na
HET7	7	61377789	61528020	HET	na	na	na
REGION146	7	76500982	76722751	alt-scaffold	KI270809.1	NT_187561.1	ALT_REF_LOCI_1
REGION241	7	99092372	99228806	fix-patch	KV880764.1	na	PATCHES
REGION147	7	103086563	103242097	alt-scaffold	KI270806.1	NT_187559.1	ALT_REF_LOCI_1
REGION242	7	107154479	107622612	fix-patch	KV880765.1	na	PATCHES
REGION11	7	141633409	141746583	alt-scaffold	GL383534.2	NW_003315922.2	ALT_REF_LOCI_1
TRB	7	142038121	143088503	alt-scaffold	KI270803.1	NT_187562.1	ALT_REF_LOCI_1
REGION252	7	143380637	144630931	fix-patch	KZ208912.1	na	PATCHES
REGION252	7	143380637	144630931	novel-patch	KZ208913.1	na	PATCHES
REGION148	7	148214874	148487860	alt-scaffold	KI270808.1	NT_187564.1	ALT_REF_LOCI_1
REGION212	7	154422352	154602937	fix-patch	KQ031388.1	na	PATCHES
REGION149	7	157697532	157820586	alt-scaffold	KI270807.1	NT_187563.1	ALT_REF_LOCI_1
REGION150	7	158267495	158477174	alt-scaffold	KI270805.1	NT_187560.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270811.1	NT_187565.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270812.1	NT_187568.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270818.1	NT_187572.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270821.1	NT_187576.1	ALT_REF_LOCI_1
REGION151	8	718410	2817440	alt-scaffold	KI270900.1	NT_187654.1	ALT_REF_LOCI_2
REGION151	8	718410	2817440	alt-scaffold	KI270901.1	NT_187655.1	ALT_REF_LOCI_2
REGION151	8	718410	2817440	alt-scaffold	KI270926.1	NT_187680.1	ALT_REF_LOCI_3
REGION322	8	6064671	6494266	fix-patch	MU273362.1	na	PATCHES
DEFENSIN_REGION_1	8	6604731	13171905	alt-scaffold	KI270813.1	NT_187570.1	ALT_REF_LOCI_1
DEFENSIN_REGION_1	8	6604731	13171905	fix-patch	KZ208915.1	na	PATCHES
REGION243	8	21395510	21659610	fix-patch	KV880767.1	na	PATCHES
ADAM5	8	39094318	39873856	alt-scaffold	KI270822.1	NT_187577.1	ALT_REF_LOCI_1
CEN8	8	44033745	45877265	CEN	na	na	na
REGION323	8	48065378	48214652	fix-patch	MU273359.1	na	PATCHES
REGION244	8	57022151	57173350	fix-patch	KV880766.1	na	PATCHES
REGION152	8	57173351	57303398	alt-scaffold	KI270814.1	NT_187566.1	ALT_REF_LOCI_1
REGION324	8	124465412	124571955	fix-patch	MU273361.1	na	PATCHES
REGION153	8	128554723	128925740	alt-scaffold	KI270810.1	NT_187567.1	ALT_REF_LOCI_1
REGION268	8	129724678	129818699	novel-patch	KZ559107.1	na	PATCHES
REGION154	8	141333447	141540817	alt-scaffold	KI270819.1	NT_187574.1	ALT_REF_LOCI_1
REGION154	8	141333447	141540817	fix-patch	MU273363.1	na	PATCHES
REGION155	8	141766834	141800272	alt-scaffold	KI270820.1	NT_187575.1	ALT_REF_LOCI_1
REGION156	8	143009713	143163398	alt-scaffold	KI270817.1	NT_187573.1	ALT_REF_LOCI_1
REGION157	8	143509961	143828794	alt-scaffold	KI270816.1	NT_187571.1	ALT_REF_LOCI_1
SLC39A4	8	144269398	144434518	fix-patch	KZ208914.1	na	PATCHES
REGION158	8	144628750	144757761	alt-scaffold	KI270815.1	NT_187569.1	ALT_REF_LOCI_1
REGION325	8	145042560	145078636	fix-patch	MU273360.1	na	PATCHES
REGION14	9	7428994	7577169	alt-scaffold	GL383539.1	NW_003315928.1	ALT_REF_LOCI_1
REGION226	9	8983671	9142737	novel-patch	KQ090018.1	na	PATCHES
REGION227	9	24949709	25079413	novel-patch	KQ090019.1	na	PATCHES
CEN9	9	43236168	45518558	CEN	na	na	na
CNTNAP3C	9	61281967	61468808	fix-patch	MU273366.1	na	PATCHES
REGION13	9	69413743	69477097	alt-scaffold	GL383540.1	NW_003315929.1	ALT_REF_LOCI_1
MAMDC2	9	70024113	70189318	alt-scaffold	GL383541.1	NW_003315930.1	ALT_REF_LOCI_1
AFCT10	9	70701802	70719794	na	na	na	na
REGION15	9	88179047	88227980	alt-scaffold	GL383542.1	NW_003315931.1	ALT_REF_LOCI_1
REGION326	9	88519456	88854463	fix-patch	MU273364.1	na	PATCHES
ASPN	9	92165272	92647523	fix-patch	MU273365.1	na	PATCHES
LPPR1	9	100948798	101378291	alt-scaffold	KI270823.1	NT_187578.1	ALT_REF_LOCI_1
ABO	9	133174055	133504070	fix-patch	KN196479.1	na	PATCHES
REGION285	9	134176072	134201322	fix-patch	ML143353.1	na	PATCHES
REGION16	10	27285655	27417608	alt-scaffold	GL383545.1	NW_003315934.1	ALT_REF_LOCI_1
REGION290	10	38363173	38781896	fix-patch	ML143354.1	na	PATCHES
REGION205	10	38918270	39338430	fix-patch	KN538367.1	na	PATCHES
CEN10	10	39686683	41593521	CEN	na	na	na
REGION159	10	42103240	42298939	alt-scaffold	KI270824.1	NT_187579.1	ALT_REF_LOCI_1
REGION18	10	45175233	45468971	alt-scaffold	GL383546.1	NW_003315935.1	ALT_REF_LOCI_1
REGION298	10	47739150	48074662	fix-patch	ML143355.1	na	PATCHES
REGION216	10	65503225	65684914	novel-patch	KQ090020.1	na	PATCHES
REGION195	10	74797382	75073121	fix-patch	KN196480.1	na	PATCHES
REGION160	10	77761309	77931226	alt-scaffold	KI270825.1	NT_187580.1	ALT_REF_LOCI_1
PTEN	10	87784179	88048756	fix-patch	KQ090021.1	na	PATCHES
PNLIPRP2	10	116589005	116785266	fix-patch	MU273367.1	na	PATCHES
REGION204	10	124109957	124195365	fix-patch	KN538366.1	na	PATCHES
REGION203	10	131588434	131607480	fix-patch	KN538365.1	na	PATCHES
REGION104	11	470360	678681	alt-scaffold	KI270832.1	NT_187586.1	ALT_REF_LOCI_1
MUCIN_REGION_1	11	937258	1207515	alt-scaffold	KI270902.1	NT_187656.1	ALT_REF_LOCI_2
MUCIN_REGION_1	11	937258	1207515	alt-scaffold	KI270927.1	NT_187681.1	ALT_REF_LOCI_3
MUCIN_REGION_1	11	937258	1207515	fix-patch	KQ759759.2	na	PATCHES
KRTAP_REGION_2	11	1265735	1740879	alt-scaffold	KI270830.1	NT_187584.1	ALT_REF_LOCI_1
KRTAP_REGION_2	11	1265735	1740879	alt-scaffold	KI270903.1	NT_187657.1	ALT_REF_LOCI_2
KRTAP_REGION_2	11	1265735	1740879	fix-patch	MU273369.1	na	PATCHES
REGION302	11	1809498	2077600	fix-patch	ML143358.1	na	PATCHES
REGION105	11	2767814	3065846	alt-scaffold	KI270831.1	NT_187585.1	ALT_REF_LOCI_1
